components,bic,aic,n_clusters,n_noise,silhouette,davies_bouldin,calinski_harabasz
2,-55059175.295405805,-63229637.380973965,2,0,0.1272194871493311,2.907597136586504,848.1176374256268
3,-69108254.11408074,-81363950.84760317,3,0,0.0043443495307233975,5.293931675852233,353.3854061814736
4,-70115600.26548031,-86456531.64695701,4,0,0.02647986822285875,4.665961496065477,390.18055392415516
5,-72681858.30216116,-93108024.33159211,5,0,-0.034583331451120095,5.924287390792237,158.8944744013254
6,-69385675.62020588,-93897076.2975911,6,0,-0.04689313836708743,4.989701316483564,144.84485745663704
7,-64605660.890317686,-93202296.21565717,7,0,-0.04206978119719856,4.371213963547722,178.0162924130764
8,-61833957.55007439,-94515827.52336815,8,0,-0.031114475902484815,5.047825521031887,239.02769917216506
9,-56588560.841289386,-93355665.46253741,9,0,-0.0332841044031893,5.022527934079395,221.1180170020293
10,-52394207.2923083,-93246546.5615106,10,0,-0.01995194187999093,4.774817253979114,226.7764052519869
