Gender,Race,Age,City,State,Weapon,Relationship,Solved,KMeans_Cluster,GMM_Cluster,DBSCAN_Cluster
Female,White,9,Fremont,Colorado,Knife,Acquaintance,Yes,1,0,-1
Female,Black,33,Alameda,California,Strangulation,Wife,Yes,1,2,-1
Male,White,36,Mecklenburg,North Carolina,Handgun,,Yes,1,2,-1
Male,Black,22,Baltimore city,Maryland,Handgun,,No,1,2,6
Male,Black,42,Marion,Indiana,Handgun,,Yes,1,2,13
Male,Native American/Alaska Native,17,Maricopa,Arizona,Handgun,Stranger,Yes,1,3,-1
Male,Black,21,Philadelphia,Pennsylvania,Shotgun,,No,1,3,-1
Female,White,73,Ripley,Indiana,Blunt Object,Neighbor,Yes,0,2,-1
Male,White,2,Cumberland,Tennessee,Shotgun,Son,Yes,1,2,-1
Male,,51,Putnam,Georgia,Handgun,Acquaintance,Yes,0,2,-1
Male,Black,63,Jefferson,Louisiana,Knife,Father,Yes,0,2,-1
Male,White,57,Chester,Pennsylvania,Handgun,Stranger,Yes,0,4,-1
Male,Black,39,District of Columbia,District of Columbia,Handgun,,No,1,2,14
Female,White,85,Westchester,New York,Rifle,Stranger,Yes,0,2,-1
Female,Black,21,Morgan,Alabama,Handgun,Girlfriend,Yes,1,2,-1
Male,Black,33,Pointe Coupee,Louisiana,Handgun,Common-Law Husband,Yes,1,3,-1
Male,Black,35,East Baton Rouge,Louisiana,Handgun,,No,1,3,15
Male,White,32,Dimmit,Texas,Handgun,,No,1,1,-1
Female,White,51,Franklin,Ohio,Handgun,Mother,Yes,0,2,-1
Male,White,29,Los Angeles,California,Handgun,,No,1,2,16
Female,White,24,Salem,Virginia,Handgun,Girlfriend,Yes,1,2,-1
Male,White,31,Wayne,Michigan,Blunt Object,Boyfriend,Yes,1,4,-1
Male,Black,39,Wayne,Michigan,Handgun,Acquaintance,Yes,1,3,17
Male,White,44,Maricopa,Arizona,Handgun,,No,0,2,84
Male,White,14,Orange,California,Handgun,Friend,Yes,1,2,-1
Male,White,69,Lancaster,South Carolina,Firearm,Stranger,Yes,0,2,-1
Male,White,35,Multnomah,Oregon,Knife,,Yes,1,2,-1
Male,Black,20,Racine,Wisconsin,Handgun,,Yes,1,3,-1
Male,Black,24,New York,New York,Handgun,,Yes,1,2,7
Female,White,51,Maricopa,Arizona,Knife,Stranger,Yes,0,2,-1
Male,White,20,Jefferson,Texas,Blunt Object,,No,1,2,-1
Male,White,56,Buffalo,Wisconsin,Rifle,Family,Yes,0,4,-1
Male,Black,22,New York,New York,,,No,1,2,7
Female,,99,San Benito,California,Knife,,No,0,2,-1
Female,White,63,Otter Tail,Minnesota,Handgun,Neighbor,Yes,0,2,-1
Male,White,24,Androscoggin,Maine,Handgun,Stranger,Yes,1,1,-1
Male,White,30,Dallas,Texas,Gun,,No,1,1,-1
Male,Black,52,Columbus,North Carolina,Rifle,Acquaintance,Yes,0,3,-1
Male,White,63,Henry,Georgia,,Stranger,Yes,0,2,-1
Female,White,87,Pinellas,Florida,Blunt Object,Stranger,Yes,0,2,-1
Male,Black,18,New Castle,Delaware,Knife,,Yes,1,2,-1
Female,White,43,Marin,California,Blunt Object,Mother,Yes,0,0,-1
Male,Black,23,Alameda,California,Blunt Object,,No,1,2,-1
Male,Black,53,New York,New York,Knife,,No,0,2,18
Male,Black,25,San Francisco,California,Handgun,,No,1,3,-1
Male,White,29,Orleans,Louisiana,Handgun,,No,1,2,-1
Male,White,35,New York,New York,Handgun,,Yes,1,2,1
Male,Black,63,Cumberland,New Jersey,,Stranger,Yes,0,2,-1
Female,White,52,Runnels,Texas,Handgun,Wife,Yes,0,4,-1
Male,White,24,East Baton Rouge,Louisiana,Shotgun,,Yes,1,4,-1
Male,Black,29,New York,New York,Handgun,,No,1,2,7
Male,White,32,New York,New York,Handgun,Stranger,Yes,1,2,19
Male,White,27,Orange,California,Rifle,,Yes,1,2,-1
Male,Black,28,Rapides,Louisiana,Handgun,Acquaintance,Yes,1,2,-1
Male,Black,20,Harris,Texas,Handgun,Stranger,Yes,1,2,20
Male,White,25,Ramsey,Minnesota,Handgun,,Yes,1,2,-1
Male,Black,34,Richmond,Virginia,Firearm,,No,1,3,-1
Male,Black,44,Atlantic,New Jersey,Knife,Husband,Yes,0,2,-1
Male,Black,15,Suffolk,Massachusetts,Knife,Stranger,Yes,1,2,-1
Male,White,18,Bexar,Texas,Firearm,,No,1,2,-1
Male,Black,37,La Porte,Indiana,Knife,Friend,Yes,1,3,-1
Male,White,17,Tarrant,Texas,Handgun,Acquaintance,Yes,1,2,77
Male,Black,1,Berrien,Michigan,Blunt Object,Acquaintance,Yes,1,3,-1
Female,Black,29,Durham,North Carolina,Knife,Girlfriend,Yes,1,2,-1
Female,White,37,Anchorage,Alaska,Handgun,Stranger,Yes,1,4,-1
Male,White,31,Washington,Vermont,Shotgun,,No,1,4,-1
Female,White,41,New York,New York,Handgun,Stranger,Yes,0,2,-1
Male,White,25,Los Angeles,California,Handgun,,No,1,2,16
Male,Black,34,Pitt,North Carolina,Shotgun,Acquaintance,Yes,1,3,-1
Male,White,13,Clayton,Georgia,Handgun,Acquaintance,Yes,1,2,-1
Male,White,30,Escambia,Florida,Blunt Object,,Yes,1,4,-1
Male,White,45,Creek,Oklahoma,Blunt Object,Acquaintance,Yes,0,1,-1
Male,White,17,Contra Costa,California,Handgun,,Yes,1,2,-1
Female,White,24,Cumberland,New Jersey,Knife,Wife,Yes,1,2,-1
Male,White,32,Shasta,California,Handgun,Stranger,Yes,1,4,-1
Male,White,25,De Kalb,Georgia,Handgun,Acquaintance,Yes,1,2,-1
Female,White,17,Gaston,North Carolina,Blunt Object,Acquaintance,Yes,1,2,-1
Male,White,25,Volusia,Florida,Handgun,Acquaintance,Yes,1,2,-1
Male,Black,23,Dade,Florida,Handgun,,Yes,1,2,21
Male,Black,36,Harris,Texas,Knife,Acquaintance,Yes,1,2,-1
Male,White,25,Tulare,California,Shotgun,,Yes,1,2,-1
Male,Black,43,Orleans,Louisiana,Handgun,,No,1,2,22
Male,White,19,Orange,California,Handgun,,No,1,2,0
Male,Asian/Pacific Islander,39,New York,New York,Blunt Object,Stranger,No,1,2,-1
