Model,Cluster,Count,Average Age,Most Common Gender,Most Common Race,Most Common City,Most Common State,Most Common Weapon,Most Common Relationship
DBSCAN,69,17,25.294117647058822,Male,Black,St. Louis city,Missouri,Firearm,Acquaintance
DBSCAN,70,14,31.714285714285715,Male,Black,Baltimore city,Maryland,Handgun,Stranger
DBSCAN,71,10,26.6,Male,Black,Mobile,Alabama,Handgun,Acquaintance
DBSCAN,72,10,26.9,Male,White,Harris,Texas,Knife,Acquaintance
DBSCAN,73,15,27.666666666666668,Male,White,San Diego,California,Handgun,Acquaintance
DBSCAN,74,10,31.0,Male,White,Oklahoma,Oklahoma,Handgun,Acquaintance
DBSCAN,75,10,26.2,Male,Black,Fulton,Georgia,Handgun,Stranger
DBSCAN,76,10,35.0,Male,Black,Wayne,Michigan,Knife,Acquaintance
DBSCAN,77,10,30.4,Male,White,Tarrant,Texas,Handgun,Acquaintance
DBSCAN,78,12,29.416666666666668,Male,White,Clark,Nevada,Handgun,Acquaintance
DBSCAN,79,14,29.071428571428573,Male,Black,Jefferson,Louisiana,Handgun,Acquaintance
DBSCAN,80,12,33.5,Male,Black,Philadelphia,Pennsylvania,Knife,Acquaintance
DBSCAN,81,15,26.6,Male,Black,Dade,Florida,Firearm,Acquaintance
DBSCAN,82,11,30.818181818181817,Male,White,New York,New York,Blunt Object,Acquaintance
DBSCAN,83,11,23.09090909090909,Male,Black,Jackson,Missouri,Firearm,
DBSCAN,84,22,25.0,Male,White,Maricopa,Arizona,Handgun,Acquaintance
DBSCAN,85,16,28.0625,Male,Black,Cook,Illinois,Firearm,Acquaintance
DBSCAN,86,10,23.5,Male,Black,Jefferson,Kentucky,Handgun,Acquaintance
DBSCAN,87,10,27.7,Male,Black,Monroe,New York,Handgun,Acquaintance
