Model,Chosen Parameters,Number of Clusters,Noise Points,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score
K-Means,k = 2,2,0,0.15758538469520567,2.2763866025003168,1480.2178311258197
GMM,components = 5,5,0,-0.034583331451120095,5.924287390792237,158.8944744013254
DBSCAN,"eps = 1.0, min_samples = 10",88,7579,0.6308852133177641,0.594861181566823,256.9479361053117
